tag_name_verbose,addresses,tag_type_verbose,tag_subtype_verbose
Kraken.com,1zrPH65mbp5fqMmqJhZExzYPfyEoBkx3JBEKiLEquKZDcwJ,Exchange,Mandatory KYC and AML
Binance.com,1zrNwz7WMaLGSmTWg2fFZARX6wZkopdc3rWK3Q6uzFM13zo,Exchange,Mandatory KYC and AML
Bitget.com,1zrNist8GBsCyAstuGpufBFTcoNKDSxgngYCgKsABod3Ds1,Exchange,Optional KYC and AML
Binance.com,1zrNUBoqWUSK3EHH9pUWN8AEAdyg5VDnquuTp4swoY79i6t,Exchange,Mandatory KYC and AML
Kraken.com,1zrNMG8XvbcjxxhLUcfKGXo6Gg3ifHaZjPpuAiRKK8yxXhi,Exchange,Mandatory KYC and AML
CEX.IO,1zrMatbJopVgw12wCXbFtmwjE148HBtkxuFDdFPe6pWbBq7,Exchange,Mandatory KYC and AML
Kucoin.com,1zrKvjCJ6nvKKmoBsHDRW7fSxzBWCYNbfXwRQ2zxTyjMgBh,Exchange,Mandatory KYC and AML
Okx.com,1zrH2mMYH4DkbSjWXfxgD4ErrBcoQz7tWSLDcgghShzYVmt,Exchange,Mandatory KYC and AML
Gate.io,1zrGonQQZc76Li2DwJEhUhzo1Bp99LXjSuEkPEDcNFZEb6Y,Exchange,Mandatory KYC and AML
CEX.IO,1zrGFb3KEmk4MKWgEYjtP8D49eGRHvCT6xKxJQCJvz3HWh1,Exchange,Mandatory KYC and AML
Kucoin.com,1zrG786TZYk7wtW1So9uLhwfMEer2LiSvTApqDra32rqai2,Exchange,Mandatory KYC and AML
Kraken.com,1zrF37QpEXoHFA5mCReGXcw8bNgx5TtRU5HemWbrszT6dVn,Exchange,Mandatory KYC and AML
Kraken.com,1zrCMnZoCoLTAZ3HT22uoa6T9F5SJUDwd7WgwEJ5vTZic3X,Exchange,Mandatory KYC and AML
Coinbase.com,1zrCHVxi1ThTfuiNyW2SUaYEhNuUiTvyACWna6DxDDfybHi,Exchange,Mandatory KYC and AML
MEXC Global,1zrBrbrJmeS6XtSQw8dLCDzW8cxxk8x5riRJ7TTHJUfhziN,Exchange,Optional KYC and AML
Okx.com,1zrBk4Y3pbUmxWhcH7ULgwyA1GMjvcPjr5eucoT5btaQjFY,Exchange,Mandatory KYC and AML
Kucoin.com,1zr8thssR78CsYkWrbeAVj5pUsJjgQfyDQq8uRKJUCYvNit,Exchange,Mandatory KYC and AML
